date,option_symbol,expiration,type,strike,bid,ask,iv,delta,gamma,theta,vega,rho,volume,open_interest,last,last_trade_time,spot
2025-12-15,AAPL251226P00290000,2025-12-26,P,290.0,11.75,12.45,0.1827,-0.9034,0.023,-0.0703,0.0959,-0.0284,40.0,467.0,12.1,2025-12-12T15:21:03,278.2799987792969
2025-12-15,AAPL251226C00292500,2025-12-26,C,292.5,0.31,0.34,0.1702,0.0809,0.0159,-0.0487,0.0856,0.0084,731.0,1053.0,0.32,2025-12-12T15:57:47,278.2799987792969
2025-12-15,AAPL251226P00292500,2025-12-26,P,292.5,13.25,15.4,0.1734,-0.9456,0.0158,-0.0491,0.0604,-0.0196,96.0,30.0,14.0,2025-12-12T10:42:00,278.2799987792969
2025-12-15,AAPL251226C00295000,2025-12-26,C,295.0,0.19,0.21,0.1743,0.0532,0.0113,-0.0355,0.0627,0.0055,916.0,5119.0,0.19,2025-12-12T15:58:23,278.2799987792969
2025-12-15,AAPL251226C00297500,2025-12-26,C,297.5,0.12,0.13,0.179,0.0348,0.0078,-0.0254,0.0451,0.0036,188.0,407.0,0.12,2025-12-12T15:24:08,278.2799987792969
2025-12-15,AAPL251226C00300000,2025-12-26,C,300.0,0.08,0.09,0.1859,0.0232,0.0054,-0.0184,0.0326,0.0024,1047.0,7326.0,0.09,2025-12-12T15:52:02,278.2799987792969
2025-12-15,AAPL251226C00302500,2025-12-26,C,302.5,0.05,0.06,0.1908,0.0159,0.0038,-0.0136,0.0239,0.0016,67.0,114.0,0.06,2025-12-12T15:51:07,278.2799987792969
2025-12-15,AAPL251226C00305000,2025-12-26,C,305.0,0.03,0.05,0.1991,0.0112,0.0027,-0.0102,0.0177,0.0011,226.0,3655.0,0.04,2025-12-12T15:57:03,278.2799987792969
2025-12-15,AAPL251226P00305000,2025-12-26,P,305.0,25.35,28.3,0.2897,-0.9985,0.0008,-0.0019,0.003,-0.0006,7.0,3.0,26.25,2025-12-12T12:39:30,278.2799987792969
2025-12-15,AAPL251226C00310000,2025-12-26,C,310.0,0.0,0.03,0.2054,0.0063,0.0015,-0.0066,0.0109,0.0006,1806.0,3581.0,0.02,2025-12-12T15:29:17,278.2799987792969
2025-12-15,AAPL251226C00315000,2025-12-26,C,315.0,0.01,0.08,0.2633,0.0041,0.0009,-0.0048,0.0073,0.0004,61.0,885.0,0.03,2025-12-12T15:17:39,278.2799987792969
2025-12-15,AAPL251226C00320000,2025-12-26,C,320.0,0.0,0.2,0.3247,0.0028,0.0006,-0.0037,0.0053,0.0003,2.0,110.0,0.01,2025-12-12T11:27:57,278.2799987792969
2025-12-15,AAPL260102P00175000,2026-01-02,P,175.0,0.0,0.92,0.9834,-0.0004,0.0,-0.0012,0.0011,-0.0001,455.0,467.0,0.01,2025-12-12T10:39:58,278.2799987792969
