earnings_date,EPS Estimate,Reported EPS,Surprise(%),ticker,pnl
2024-01-23,0.22,0.21,-5.47,NFLX,-0.1146151367111596
2023-10-18,0.35,0.37,7.07,NFLX,-0.5902021236214071
2023-07-19,0.29,0.33,15.15,NFLX,0.1672110039812209
2023-04-18,0.29,0.29,0.46,NFLX,0.3343489681537482
2023-01-19,0.05,0.01,-76.58,NFLX,0.1560481782647564
2022-10-18,0.21,0.31,45.21,NFLX,0.0177471683182598
2022-07-19,0.29,0.32,8.75,NFLX,0.3735510184082832
2022-04-19,0.29,0.35,20.97,NFLX,-1.3927287679141267
2022-01-20,0.08,0.13,61.49,NFLX,-1.1245077036361355
2021-10-19,0.26,0.32,24.75,NFLX,0.2332953363704672
2021-07-20,0.32,0.3,-5.91,NFLX,0.3145127619034882
2021-04-20,0.3,0.38,25.48,NFLX,0.0287766085770549
2021-01-19,0.14,0.12,-15.07,NFLX,-0.534324075698683
2020-10-20,0.21,0.17,-18.71,NFLX,0.2199344981153156
2020-07-16,0.18,0.16,-13.13,NFLX,0.2925685799735402
2020-04-21,0.16,0.16,-4.02,NFLX,0.2522337592414636
2020-01-21,0.05,0.13,147.95,NFLX,0.2364166254118727
